simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
3,5,Australia,Turkey,0,1,A,Turkey,
3,6,Qatar,Switzerland,0,1,A,Switzerland,
3,7,Brazil,Morocco,0,0,D,,
3,8,Haiti,Scotland,0,1,A,Scotland,
3,9,Germany,Curaçao,2,0,H,Germany,
3,10,Netherlands,Japan,1,0,H,Netherlands,
3,11,Côte d'Ivoire,Ecuador,0,0,D,,
3,12,Sweden,Tunisia,2,0,H,Sweden,
3,13,Spain,Cabo Verde,4,1,H,Spain,
3,14,Belgium,Egypt,1,1,D,,
3,15,Saudi Arabia,Uruguay,2,0,H,Saudi Arabia,
3,16,Iran,New Zealand,0,2,A,New Zealand,
3,17,Austria,Jordan,0,0,D,,
3,18,France,Senegal,0,1,A,Senegal,
3,19,Iraq,Norway,0,2,A,Norway,
3,20,Argentina,Algeria,1,1,D,,
3,21,Portugal,DR Congo,3,1,H,Portugal,
3,22,England,Croatia,3,1,H,England,
3,23,Ghana,Panama,0,1,A,Panama,
3,24,Uzbekistan,Colombia,0,0,D,,
3,25,Czech Republic,South Africa,4,1,H,Czech Republic,
3,26,Switzerland,Bosnia and Herzegovina,2,2,D,,
3,27,Canada,Qatar,1,0,H,Canada,
3,28,Mexico,South Korea,1,1,D,,
3,29,Turkey,Paraguay,1,1,D,,
3,30,USA,Australia,0,2,A,Australia,
3,31,Scotland,Morocco,4,0,H,Scotland,
3,32,Brazil,Haiti,4,0,H,Brazil,
3,33,Tunisia,Japan,0,1,A,Japan,
3,34,Netherlands,Sweden,0,0,D,,
3,35,Germany,Côte d'Ivoire,0,0,D,,
3,36,Ecuador,Curaçao,1,0,H,Ecuador,
3,37,Spain,Saudi Arabia,6,2,H,Spain,
3,38,Belgium,Iran,0,2,A,Iran,
3,39,Uruguay,Cabo Verde,1,2,A,Cabo Verde,
3,40,New Zealand,Egypt,0,0,D,,
3,41,Argentina,Austria,2,1,H,Argentina,
3,42,France,Iraq,1,1,D,,
3,43,Norway,Senegal,1,1,D,,
3,44,Jordan,Algeria,1,3,A,Algeria,
3,45,Portugal,Uzbekistan,1,0,H,Portugal,
3,46,England,Ghana,0,0,D,,
3,47,Panama,Croatia,2,0,H,Panama,
3,48,Colombia,DR Congo,1,2,A,DR Congo,
3,49,Switzerland,Canada,2,1,H,Switzerland,
3,50,Bosnia and Herzegovina,Qatar,0,2,A,Qatar,
3,51,Scotland,Brazil,0,2,A,Brazil,
3,52,Morocco,Haiti,0,8,A,Haiti,
3,53,Czech Republic,Mexico,1,1,D,,
3,54,South Africa,South Korea,1,1,D,,
3,55,Curaçao,Côte d'Ivoire,1,1,D,,
3,56,Ecuador,Germany,4,1,H,Ecuador,
3,57,Japan,Sweden,3,0,H,Japan,
3,58,Tunisia,Netherlands,1,1,D,,
