model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,A,num__weighted_goal_diff_delta_last5,-0.14489029102467976,0.14489029102467976
logistic_regression_exp_h2h,H,cat__away_confederation_AFC,0.1431196160815751,0.1431196160815751
logistic_regression_exp_h2h,A,cat__confederation_pair_AFC_vs_OFC,0.14219484843354654,0.14219484843354654
logistic_regression_exp_h2h,A,cat__host_confederation_OFC,-0.1420812845832341,0.1420812845832341
logistic_regression_exp_h2h,A,num__exp_goal_diff_per_match_prior_diff_filled,0.14116338515300686,0.14116338515300686
logistic_regression_exp_h2h,D,cat__home_confederation_UEFA,0.14067397787261723,0.14067397787261723
logistic_regression_exp_h2h,H,num__weighted_form_points_diff_last10,-0.13897932823755207,0.13897932823755207
logistic_regression_exp_h2h,D,cat__away_confederation_AFC,0.13883646863644333,0.13883646863644333
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_CONMEBOL,0.13876390490185778,0.13876390490185778
logistic_regression_exp_h2h,D,num__away_exp_avg_tournament_importance_prior_filled,-0.13749928040379228,0.13749928040379228
logistic_regression_exp_h2h,D,num__away_exp_points_per_match_prior_filled,0.13703431063680116,0.13703431063680116
logistic_regression_exp_h2h,D,num__weighted_form_points_diff_last10,0.13564249951613455,0.13564249951613455
logistic_regression_exp_h2h,A,num__confed_goal_diff_per_match_diff_prior_filled,0.1347737996742505,0.1347737996742505
logistic_regression_exp_h2h,H,cat__home_confederation_OFC,-0.1347336289533531,0.1347336289533531
logistic_regression_exp_h2h,A,cat__away_confederation_CONMEBOL,0.13374441587936986,0.13374441587936986
logistic_regression_exp_h2h,H,cat__confederation_pair_CONMEBOL_vs_CONCACAF,0.1327781966494232,0.1327781966494232
logistic_regression_exp_h2h,D,num__exp_goal_diff_per_match_prior_diff_filled,0.13220386491640104,0.13220386491640104
logistic_regression_exp_h2h,D,num__away_exp_goal_diff_per_match_prior_filled,0.13175026022205621,0.13175026022205621
logistic_regression_exp_h2h,D,num__h2h_goal_diff_per_match_last5_filled,0.1317360734829518,0.1317360734829518
logistic_regression_exp_h2h,A,num__win_rate_diff_last10,0.1314094998969792,0.1314094998969792
logistic_regression_exp_h2h,D,cat__host_confederation_NON_FIFA,0.13136762354127507,0.13136762354127507
logistic_regression_exp_h2h,H,cat__home_confederation_UEFA,-0.1299012451471284,0.1299012451471284
logistic_regression_exp_h2h,D,num__elo_prob_home_win_proxy,-0.12780341417490937,0.12780341417490937
logistic_regression_exp_h2h,H,cat__host_confederation_OFC,-0.12591240194619563,0.12591240194619563
logistic_regression_exp_h2h,A,num__away_exp_major_points_per_match_prior_filled,0.12479196717215289,0.12479196717215289
logistic_regression_exp_h2h,A,num__h2h_home_team_points_per_match_prior_filled,-0.12302467859971615,0.12302467859971615
logistic_regression_exp_h2h,D,cat__away_confederation_CONMEBOL,0.1227495648064264,0.1227495648064264
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_AFC,0.12263401896017301,0.12263401896017301
logistic_regression_exp_h2h,D,num__exp_major_points_per_match_prior_diff_filled,0.12234674802274861,0.12234674802274861
logistic_regression_exp_h2h,H,cat__home_confederation_AFC,-0.12054832203971938,0.12054832203971938
logistic_regression_exp_h2h,D,num__h2h_goals_for_per_match_prior_filled,-0.11957423751201741,0.11957423751201741
logistic_regression_exp_h2h,A,num__home_exp_goal_diff_per_match_prior_filled,-0.116820971108649,0.116820971108649
logistic_regression_exp_h2h,A,cat__confederation_pair_UEFA_vs_CONMEBOL,0.11650164096453199,0.11650164096453199
logistic_regression_exp_h2h,H,cat__host_confederation_UEFA,-0.11635656611907395,0.11635656611907395
logistic_regression_exp_h2h,H,num__fifa_points_diff_filled,-0.11593290817315945,0.11593290817315945
logistic_regression_exp_h2h,H,num__away_exp_avg_tournament_importance_prior_filled,-0.11566575991846421,0.11566575991846421
logistic_regression_exp_h2h,D,cat__confederation_pair_AFC_vs_CAF,-0.11457898570541072,0.11457898570541072
logistic_regression_exp_h2h,A,cat__confederation_pair_CONCACAF_vs_CONMEBOL,0.11376965773735498,0.11376965773735498
logistic_regression_exp_h2h,D,num__exp_points_per_match_prior_diff_filled,0.11252838959803291,0.11252838959803291
logistic_regression_exp_h2h,D,num__away_exp_years_since_first_match_filled,0.11078790815760092,0.11078790815760092
logistic_regression_exp_h2h,A,num__h2h_draws_prior,-0.11051544424709563,0.11051544424709563
logistic_regression_exp_h2h,H,num__exp_years_since_first_match_diff_filled,0.11035082646562043,0.11035082646562043
logistic_regression_exp_h2h,D,cat__host_confederation_CONMEBOL,-0.1090396790522972,0.1090396790522972
logistic_regression_exp_h2h,D,num__h2h_same_family_matches_prior,-0.10782198148486007,0.10782198148486007
logistic_regression_exp_h2h,H,num__exp_major_points_per_match_prior_diff_filled,-0.10756795700093652,0.10756795700093652
logistic_regression_exp_h2h,H,num__exp_major_goal_diff_per_match_prior_diff_filled,0.10705792369934046,0.10705792369934046
logistic_regression_exp_h2h,A,cat__confederation_pair_AFC_vs_UEFA,0.10653463417002858,0.10653463417002858
logistic_regression_exp_h2h,D,num__h2h_draws_prior,0.10651042804345083,0.10651042804345083
