v3_weight,baseline_weight,validation_log_loss,validation_brier
0.056,0.944,0.9748158345014567,0.5774226817586627
0.057,0.943,0.9747684986854167,0.5773991999887667
0.058,0.942,0.9747212572428348,0.5773757500781684
0.059,0.9410000000000001,0.9746741099581772,0.5773523320268679
0.06,0.94,0.9746270566172763,0.5773289458348652
0.061,0.9390000000000001,0.9745800970073165,0.5773055915021603
0.062,0.938,0.974533230916822,0.5772822690287531
0.063,0.937,0.9744864581356443,0.5772589784146438
0.064,0.9359999999999999,0.9744397784549501,0.5772357196598323
0.065,0.935,0.974393191667209,0.5772124927643185
0.066,0.9339999999999999,0.9743466975661806,0.5771892977281025
0.067,0.933,0.9743002959469035,0.5771661345511844
0.068,0.9319999999999999,0.9742539866056835,0.5771430032335639
0.069,0.931,0.9742077693400816,0.5771199037752411
0.07,0.9299999999999999,0.9741616439489027,0.5770968361762163
0.071,0.929,0.9741156102321843,0.5770738004364893
0.072,0.928,0.9740696679911852,0.5770507965560601
0.073,0.927,0.9740238170283747,0.5770278245349285
0.074,0.926,0.9739780571474215,0.5770048843730948
0.075,0.925,0.9739323881531827,0.5769819760705589
0.076,0.924,0.9738868098516938,0.5769590996273207
0.077,0.923,0.9738413220501582,0.5769362550433803
0.078,0.922,0.9737959245569351,0.5769134423187379
0.079,0.921,0.9737506171815326,0.576890661453393
0.08,0.92,0.9737053997345935,0.576867912447346
0.081,0.919,0.9736602720278889,0.5768451953005966
0.082,0.918,0.9736152338743063,0.5768225100131452
0.083,0.917,0.9735702850878402,0.5767998565849916
0.084,0.916,0.9735254254835826,0.5767772350161358
0.085,0.915,0.9734806548777138,0.5767546453065776
0.086,0.914,0.9734359730874927,0.5767320874563173
0.087,0.913,0.973391379931247,0.5767095614653548
0.088,0.912,0.9733468752283647,0.57668706733369
0.089,0.911,0.9733024587992848,0.5766646050613231
0.09,0.91,0.9732581304654883,0.5766421746482538
0.091,0.909,0.9732138900494893,0.5766197760944825
0.092,0.908,0.9731697373748264,0.5765974094000089
0.093,0.907,0.9731256722660536,0.576575074564833
0.094,0.906,0.9730816945487326,0.576552771588955
0.095,0.905,0.9730378040494233,0.5765305004723748
0.096,0.904,0.972994000595676,0.5765082612150922
0.097,0.903,0.9729502840160231,0.5764860538171076
0.098,0.902,0.9729066541399709,0.5764638782784206
0.099,0.901,0.9728631107979918,0.5764417345990315
0.1,0.9,0.9728196538215156,0.5764196227789402
0.101,0.899,0.972776283042922,0.5763975428181467
0.102,0.898,0.9727329982955331,0.5763754947166508
0.103,0.897,0.9726897994136051,0.5763534784744528
0.104,0.896,0.9726466862323214,0.5763314940915527
0.105,0.895,0.9726036585877842,0.5763095415679502
0.106,0.894,0.9725607163170076,0.5762876209036455
0.107,0.893,0.9725178592579102,0.5762657320986387
0.108,0.892,0.9724750872493078,0.5762438751529296
0.109,0.891,0.9724324001309057,0.5762220500665184
0.11,0.89,0.9723897977432922,0.5762002568394048
0.111,0.889,0.9723472799279312,0.5761784954715892
0.112,0.888,0.9723048465271557,0.5761567659630712
0.113,0.887,0.9722624973841599,0.5761350683138511
0.114,0.886,0.9722202323429939,0.5761134025239287
0.115,0.885,0.972178051248555,0.5760917685933041
0.116,0.884,0.972135953946583,0.5760701665219774
0.117,0.883,0.9720939402836521,0.5760485963099483
0.118,0.882,0.9720520101071656,0.5760270579572171
