model,class,feature,importance,abs_importance
logistic_regression,H,cat__confederation_pair_AFC_vs_UEFA,-0.057097736428147146,0.057097736428147146
logistic_regression,A,cat__confederation_pair_CONCACAF_vs_CONCACAF,0.05501580223535563,0.05501580223535563
logistic_regression,H,num__avg_goal_diff_delta_last5,-0.054749613445408137,0.054749613445408137
logistic_regression,D,cat__confederation_pair_CONCACAF_vs_CONMEBOL,0.054596118064293056,0.054596118064293056
logistic_regression,H,cat__confederation_pair_OFC_vs_OFC,-0.05441189003295774,0.05441189003295774
logistic_regression,A,cat__host_confederation_CAF,0.054211181465460244,0.054211181465460244
logistic_regression,D,num__win_rate_diff_last5,-0.0531346271839709,0.0531346271839709
logistic_regression,D,cat__confederation_pair_UEFA_vs_CAF,-0.05281346906135403,0.05281346906135403
logistic_regression,H,num__form_points_per_match_diff_last10,-0.05151497348358904,0.05151497348358904
logistic_regression,D,cat__confederation_pair_infrequent_sklearn,-0.05144974451904547,0.05144974451904547
logistic_regression,D,num__away_days_since_last_match_last5,-0.050481862289257676,0.050481862289257676
logistic_regression,D,num__confed_points_per_match_diff_prior_filled,0.0495059457294907,0.0495059457294907
logistic_regression,A,num__weighted_form_points_diff_last10,0.04931895088957333,0.04931895088957333
logistic_regression,H,num__avg_goal_diff_delta_last10,0.04571492777173538,0.04571492777173538
logistic_regression,A,num__weighted_form_points_diff_last5,0.04496620245741411,0.04496620245741411
logistic_regression,D,cat__confederation_pair_AFC_vs_UEFA,-0.044590358402952376,0.044590358402952376
logistic_regression,H,num__is_friendly,-0.04237373819780336,0.04237373819780336
logistic_regression,A,num__confed_avg_elo_diff_prior_filled,0.041649229214906124,0.041649229214906124
logistic_regression,D,num__same_confederation,0.04124929380443493,0.04124929380443493
logistic_regression,D,cat__confederation_pair_AFC_vs_CONMEBOL,0.04033096859829549,0.04033096859829549
logistic_regression,H,num__is_continental,-0.03986722523667383,0.03986722523667383
logistic_regression,D,num__elo_prob_home_win_proxy,-0.03896836993107335,0.03896836993107335
logistic_regression,A,cat__home_confederation_UEFA,-0.03896179252379776,0.03896179252379776
logistic_regression,A,num__avg_goal_diff_delta_last5,0.03830619684749443,0.03830619684749443
logistic_regression,H,num__win_rate_diff_last10,-0.037976925191217904,0.037976925191217904
logistic_regression,D,num__away_confed_matches_host_confed,-0.0378069193576572,0.0378069193576572
logistic_regression,D,num__fifa_rank_diff_filled,0.03769770540203146,0.03769770540203146
logistic_regression,H,num__confed_avg_elo_diff_prior_filled,-0.03631042657319437,0.03631042657319437
logistic_regression,H,num__away_confed_matches_host_confed,0.0359470168701377,0.0359470168701377
logistic_regression,D,cat__confederation_pair_UEFA_vs_AFC,-0.03502924953932569,0.03502924953932569
logistic_regression,D,cat__confederation_pair_CAF_vs_AFC,0.03451662932057439,0.03451662932057439
logistic_regression,A,cat__away_confederation_CONCACAF,-0.03355155834948966,0.03355155834948966
logistic_regression,A,cat__confederation_pair_UEFA_vs_UEFA,0.03237620840801018,0.03237620840801018
logistic_regression,H,num__weighted_form_points_diff_last5,-0.0317296482051494,0.0317296482051494
logistic_regression,A,num__home_confed_matches_host_confed,-0.031323993926317385,0.031323993926317385
logistic_regression,D,num__is_continental,0.028839179581087192,0.028839179581087192
logistic_regression,A,num__form_points_per_match_diff_last10,0.0287042900640385,0.0287042900640385
logistic_regression,H,num__home_confed_matches_host_confed,0.02698066650924076,0.02698066650924076
logistic_regression,D,num__elo_diff,0.026915177715683806,0.026915177715683806
logistic_regression,D,num__elo_diff_pre,0.026915177715683806,0.026915177715683806
logistic_regression,A,num__away_days_since_last_match_last5,0.026822584507829567,0.026822584507829567
logistic_regression,H,num__away_days_since_last_match_last5,0.023659277781427224,0.023659277781427224
logistic_regression,A,num__is_friendly,-0.023508159042056737,0.023508159042056737
logistic_regression,D,num__form_points_per_match_diff_last10,0.02281068341955251,0.02281068341955251
logistic_regression,A,num__confed_inter_points_per_match_diff_prior_filled,-0.021602469485295532,0.021602469485295532
logistic_regression,D,cat__confederation_pair_AFC_vs_CONCACAF,0.021244063259334808,0.021244063259334808
logistic_regression,D,cat__host_confederation_UEFA,-0.0205786806985093,0.0205786806985093
logistic_regression,A,num__tournament_importance,0.02013465629448622,0.02013465629448622
